date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:23	34434/34434	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:25%20GMT	https://www.equancy.fr/fr/offre/stage-data-scientist-h-f	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/offre/stage-data-scientist-h-f.html	(from https://www.equancy.fr/fr/nos-offres)
15:07:24	850/850	---MC-	200	added ('OK')	text/javascript	date:Mon,%2008%20Mar%202021%2010:07:25%20GMT	https://www.google.com/recaptcha/api.js?render=	C:/Users/Reception/Desktop/TEST/www.google.com/recaptcha/api3398.js	(from https://www.equancy.fr/fr/contact)
15:07:24	16804/16804	---M--	200	added ('OK')	image/png	etag:%2241a4-5b1a3f2b24d2a%22	https://www.equancy.fr/uploads/media/5f4fb15fa68b9_volkswagen.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f4fb15fa68b9_volkswagen.png	(from https://www.equancy.fr/fr/cas-client/construction-et-exploitation-dun-data-lake)
15:07:24	14216/14216	---M--	200	added ('OK')	image/png	etag:%223788-5b1a3f29658db%22	https://www.equancy.fr/uploads/media/5f295e858f4cb_e.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f295e858f4cb_e.png	(from https://www.equancy.fr/fr/cas-client/maturite-crm-et-design-de-lexperience-client)
15:07:25	10332/10332	---M--	200	added ('OK')	image/png	etag:%22285c-5b1a3f27553aa%22	https://www.equancy.fr/uploads/media/5f2ab5816f841_danone.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f2ab5816f841_danone.png	(from https://www.equancy.fr/fr/cas-client/personnalisation-du-parcours-client)
15:07:25	113337/113337	---M--	200	added ('OK')	image/png	etag:%221bab9-5b358ea7e6940%22	https://www.equancy.fr/uploads/media/5fa3c90c3038e_daniel-snook-2.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5fa3c90c3038e_daniel-snook-2.png	(from https://www.equancy.fr/fr/cas-client/construction-et-exploitation-dun-data-lake)
15:07:25	172434/172434	---M--	200	added ('OK')	image/png	etag:%222a192-5b358e9c43100%22	https://www.equancy.fr/uploads/media/5fa3c8fff32bd_bertrand-destailleur-2.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5fa3c8fff32bd_bertrand-destailleur-2.png	(from https://www.equancy.fr/fr/cas-client/maturite-crm-et-design-de-lexperience-client)
15:07:26	139576/139576	---M--	200	added ('OK')	image/png	etag:%2222138-5b358e4cc068f%22	https://www.equancy.fr/uploads/media/5fa3c8ac98925_bertrand-de-la-selle-2.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5fa3c8ac98925_bertrand-de-la-selle-2.png	(from https://www.equancy.fr/fr/cas-client/personnalisation-du-parcours-client)
15:07:26	176955/176955	---M--	200	added ('OK')	image/png	etag:%222b33b-5b358eb7feba5%22	https://www.equancy.fr/uploads/media/5fa3c91d12f58_didier-richaudeau-2.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5fa3c91d12f58_didier-richaudeau-2.png	(from https://www.equancy.fr/fr/news/study/qualite-des-donnees-get-clean-stay-clean)
15:07:26	127901/127901	---M--	200	added ('OK')	image/png	etag:%221f39d-5b358ec55d9b3%22	https://www.equancy.fr/uploads/media/5fa3c92b16d7d_herve-mignot-2.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5fa3c92b16d7d_herve-mignot-2.png	(from https://www.equancy.fr/fr/news/study/equancy-vous-forme-a-la-data)
